hashtag_1,hashtag_2,count
#Iran,#MakkahMutualDefenceAgreement,1
#India,#MakkahMutualDefenceAgreement,1
#India,#IranWar,1
#Houthis,#USA,1
#Houthis,#SouthAsia,1
#Houthis,#MakkahMutualDefenceAgreement,1
#Egypt,#USA,1
#Egypt,#Turkiye,1
#Egypt,#SouthAsia,1
#Egypt,#RedSea,1
#Egypt,#MakkahMutualDefenceAgreement,1
#Egypt,#IranWar,1
#MeccaAlliance,#MiddleEast,1
#Lavrov,#MiddleEast,1
#Lavrov,#MeccaAlliance,1
#EXCLUSIVE,#MiddleEast,1
#EXCLUSIVE,#MeccaAlliance,1
#Alliance,#MeccaPact,1
#Alliance,#Islam,1
#Alliance,#Geopolitics,1
#AbrahamAccords,#TheWorldCorrespondent,1
#AbrahamAccords,#MiddleEast,1
#AbrahamAccords,#Islam,1
#AbrahamAccords,#Geopolitics,1
#AbrahamAccords,#Alliance,1
#LINEマンガガチャ,#يوم_الجمعه,1
#UAE,#geopolitics,1
#MeccaDefenseAgreement,#geopolitics,1
#Geopolitics,#IranPakistan,1
#PakistanTurkiye,#RegionalSecurity,1
#PakistanTV,#PakistanTurkiye,1
#PakistanSaudiArabia,#PakistanTurkiye,1
#PakistanSaudiArabia,#PakistanTV,1
#MakkahPact,#PakistanTurkiye,1
#MakkahPact,#PakistanTV,1
#MiddleEast,#TheWorldCorrespondent,1
#Islam,#TheWorldCorrespondent,1
#Islam,#MiddleEast,1
#Islam,#MeccaPact,1
#Geopolitics,#TheWorldCorrespondent,1
#Geopolitics,#Islam,1
#Alliance,#TheWorldCorrespondent,1
#Alliance,#MiddleEast,1
#Breaking,#Iran,1
#IranPakistan,#MakkahAgreement,1
#IranPakistan,#IslamicNATO,1
#IranPakistan,#IranSaudiArabia,1
#Iran,#MakkahAgreement,1
#Iran,#IslamicNATO,1
#Iran,#IranSaudiArabia,1
#Iran,#IranPakistan,1
#GlobalPolitics,#Turkiye,1
#GlobalPolitics,#MakkahAgreement,1
#GlobalPolitics,#IslamicNATO,1
#GlobalPolitics,#IranSaudiArabia,1
#GlobalPolitics,#IranPakistan,1
#GlobalPolitics,#Iran,1
#Geopolitics,#MakkahAgreement,1
#Geopolitics,#IslamicNATO,1
#Geopolitics,#IranSaudiArabia,1
#MakkahAgreement,#SaudiArabia,1
#MakkahAgreement,#Pakistan,1
#MakkahAgreement,#MiddleEast,1
#IslamicNATO,#Turkiye,1
#IslamicNATO,#MiddleEast,1
#IslamicNATO,#MakkahAgreement,1
#IranSaudiArabia,#Turkiye,1
#IranSaudiArabia,#SaudiArabia,1
#IranSaudiArabia,#Pakistan,1
#IranSaudiArabia,#MiddleEast,1
#IranSaudiArabia,#MakkahAgreement,1
#IranSaudiArabia,#IslamicNATO,1
#IranPakistan,#Turkiye,1
#IranPakistan,#SaudiArabia,1
#IranPakistan,#Pakistan,1
#IranPakistan,#MiddleEast,1
#MeccaPact,#podcast,1
#MeccaPact,#pakistan,1
#MeccaPact,#jointpact,1
#MeccaPact,#azk,1
#ForeignPolicy,#MeccaPact,1
#BengaliIdentity,#MeccaPact,1
#BengaliIdentity,#Geopolitics,1
#BengaliIdentity,#ForeignPolicy,1
#Bangladesh,#BengaliIdentity,1
#IranWar‌,#Mecca_Defence_Pact,1
#IranWar,#Mecca_Defence_Pact,1
#Hormuz,#Mecca_Defence_Pact,1
#Hormuz,#IranWar‌,1
#Hormuz,#IranWar,1
#India,#Mecca,1
#MakkahAgreement,#Turkiye,1
#TheWorldCorrespondent,#Yemen,1
#SaudiArabia,#TheWorldCorrespondent,1
#MissileStrike,#Yemen,1
#MissileStrike,#TheWorldCorrespondent,1
#MissileStrike,#SaudiArabia,1
#MeccaPact,#MissileStrike,1
#KingKhalidAirBase,#Yemen,1
#KingKhalidAirBase,#TheWorldCorrespondent,1
#KingKhalidAirBase,#SaudiArabia,1
#KingKhalidAirBase,#MissileStrike,1
#KingKhalidAirBase,#MeccaPact,1
#Houthi,#Yemen,1
#azk,#pakistan,1
#azk,#jointpact,1
#MeccaPact,#turkiye,1
#MeccaPact,#saudiarabia,1
#Israel,#Netanyahu,1
#Geopolitics,#Netanyahu,1
#BRICS,#Netanyahu,1
#podcast,#turkiye,1
#podcast,#saudiarabia,1
#pakistan,#turkiye,1
#pakistan,#saudiarabia,1
